month, format: day,hour,forecast,일최고기온,6시간강수량,하늘상태,풍속,강수확률,풍향,6시간적설,일최저기온,습도,강수형태,3시간기온
1, 10,200.0,40.0,0.0,,2.0,1.9,10.0,226.0,,,60.0,0.0,0.0
1, 10,200.0,43.0,-1.0,0.0,2.0,1.7,10.0,226.0,0.0,,60.0,0.0,-1.0
1, 10,200.0,46.0,2.0,,2.0,1.0,10.0,221.0,,,55.0,0.0,2.0
1, 10,200.0,49.0,7.0,0.0,2.0,2.6,10.0,257.0,0.0,,35.0,0.0,7.0
1, 10,200.0,52.0,8.0,,2.0,2.5,10.0,257.0,,,35.0,0.0,8.0
1, 10,200.0,55.0,5.0,0.0,2.0,2.9,10.0,239.0,0.0,,45.0,0.0,5.0
1, 10,200.0,58.0,4.0,,2.0,2.6,10.0,301.0,,,55.0,0.0,4.0
1, 10,200.0,61.0,2.0,0.0,2.0,2.0,10.0,318.0,0.0,,55.0,0.0,2.0
1, 10,500.0,4.0,4.0,0.0,1.0,2.7,0.0,293.0,0.0,-4.0,35.0,0.0,4.0
1, 10,500.0,7.0,2.0,,1.0,2.3,0.0,302.0,,-1.0,30.0,0.0,2.0
1, 10,500.0,10.0,1.0,0.0,1.0,0.8,0.0,295.0,0.0,,25.0,0.0,1.0
1, 10,500.0,13.0,0.0,,1.0,1.0,0.0,298.0,,,20.0,0.0,0.0
1, 10,500.0,16.0,-1.0,0.0,1.0,0.2,0.0,298.0,0.0,,15.0,0.0,-1.0
1, 10,500.0,19.0,0.0,,1.0,1.1,0.0,315.0,,,15.0,0.0,0.0
1, 10,500.0,22.0,4.0,0.0,1.0,2.1,0.0,313.0,0.0,,15.0,0.0,4.0
1, 10,500.0,25.0,5.0,,2.0,3.0,10.0,307.0,,,25.0,0.0,5.0
1, 10,500.0,28.0,2.0,0.0,2.0,2.4,10.0,284.0,0.0,,35.0,0.0,2.0
1, 10,500.0,31.0,1.0,,2.0,2.4,10.0,224.0,,,50.0,0.0,1.0
1, 10,500.0,34.0,1.0,0.0,2.0,2.4,10.0,245.0,0.0,,60.0,0.0,1.0
1, 10,500.0,37.0,0.0,,2.0,2.1,10.0,226.0,,,60.0,0.0,0.0
1, 10,500.0,40.0,0.0,0.0,2.0,2.2,10.0,226.0,0.0,,60.0,0.0,0.0
1, 10,500.0,43.0,2.0,,2.0,1.0,10.0,221.0,,,55.0,0.0,2.0
1, 10,500.0,46.0,7.0,0.0,2.0,2.3,10.0,257.0,0.0,,35.0,0.0,7.0
1, 10,500.0,49.0,8.0,,2.0,3.1,10.0,257.0,,,35.0,0.0,8.0
1, 10,500.0,52.0,6.0,0.0,2.0,2.8,10.0,239.0,0.0,,45.0,0.0,6.0
1, 10,500.0,55.0,4.0,,2.0,2.5,10.0,301.0,,,55.0,0.0,4.0
1, 10,500.0,58.0,2.0,0.0,2.0,2.1,10.0,318.0,0.0,,60.0,0.0,2.0
1, 10,800.0,4.0,2.0,,1.0,3.8,0.0,287.0,,-3.0,45.0,0.0,2.0
1, 10,800.0,7.0,0.0,0.0,1.0,3.6,0.0,297.0,0.0,0.0,40.0,0.0,0.0
1, 10,800.0,10.0,-2.0,,1.0,4.0,0.0,304.0,,,35.0,0.0,-2.0
1, 10,800.0,13.0,-3.0,0.0,1.0,3.7,0.0,304.0,0.0,,30.0,0.0,-3.0
1, 10,800.0,16.0,-1.0,,1.0,4.3,0.0,312.0,,,25.0,0.0,-1.0
1, 10,800.0,19.0,3.0,0.0,1.0,3.7,0.0,311.0,0.0,,30.0,0.0,3.0
1, 10,800.0,22.0,5.0,,2.0,4.4,10.0,303.0,,,30.0,0.0,5.0
1, 10,800.0,25.0,3.0,0.0,2.0,4.0,10.0,283.0,0.0,,40.0,0.0,3.0
1, 10,800.0,28.0,2.0,,2.0,3.2,10.0,268.0,,,50.0,0.0,2.0
1, 10,800.0,31.0,1.0,0.0,2.0,2.6,10.0,230.0,0.0,,55.0,0.0,1.0
1, 10,800.0,34.0,0.0,,2.0,3.1,10.0,232.0,,,60.0,0.0,0.0
1, 10,800.0,37.0,1.0,0.0,2.0,3.1,10.0,217.0,0.0,,60.0,0.0,1.0
1, 10,800.0,40.0,2.0,,2.0,2.3,10.0,223.0,,,55.0,0.0,2.0
1, 10,800.0,43.0,7.0,0.0,2.0,3.1,10.0,264.0,0.0,,40.0,0.0,7.0
1, 10,800.0,46.0,8.0,,2.0,4.1,10.0,262.0,,,40.0,0.0,8.0
1, 10,800.0,49.0,6.0,0.0,2.0,4.1,10.0,255.0,0.0,,50.0,0.0,6.0
1, 10,800.0,52.0,4.0,,2.0,3.3,10.0,339.0,,,55.0,0.0,4.0
1, 10,800.0,55.0,3.0,0.0,2.0,2.6,10.0,347.0,0.0,,55.0,0.0,3.0
